id,Section,Title,N,Kimberling Centers,Year,Video1,Video2,sound,Video3
119,Inversions of Pivoting Triangles,"Inversive Image of Pivoting Triangle, Part II: Conic Loci of X(3) and X(6) of Inversive",3,--,2021,https://youtu.be/qVCjQfXkK_k,,T,
120,Inversions of Pivoting Triangles,"Inversive Image of Pivoting Triangle, Part III: Piecewise Point-Circular Loci of X'(15) and X'(16)",3,--,2021,https://youtu.be/iFEHMSELf7U,,T,
121,Inversions of Pivoting Triangles,"Inversive Image of Pivoting Triangle, Part IV: Piecewise Point-Elliptic Loci of X'(61) and X'(62)",3,--,2021,https://youtu.be/HPp5I_kCf0g,,T,
122,Inversions of Pivoting Triangles,"Inversive Image of Pivoting Triangle, Part V: Loci of the Isodynamic Midpoint X'(187)",3,--,2021,https://youtu.be/qZFd0SwJ8xg,,T,
123,Inversions of Pivoting Triangles,Isocurves of distance between triangle center in reference triangle vs in inversive (or polar) image,3,--,2021,https://youtu.be/SvG8ogSzZh4,https://youtu.be/BHG4yMSgi8k,T,
124,Inversions of Pivoting Triangles,Stationary Symmedian Point of the Inversive Image of an X(6)-Pivoting Triangle,3,--,2021,https://youtu.be/GLRZSbzzP1U,,T,
125,Inversive Poncelet,Centers of Inversive Arcs area a Bicentric Poncelet Family w/ Invariants,5,--,2020,https://youtu.be/mXkk_4RYrnU,,T,
126,Inversive Poncelet,Circles Galore I: Loci of Focus-Inversive 3-Periodics in the Elliptic Billiard (11 notable centers),3,"1, 2, 3, 4, 5, 9, 10, 11, 20, 40, 100",2020,https://youtu.be/tKB-50zW8F4,,T,
127,Inversive Poncelet,Circles Galore II: 29 Loci of Focus-Inversive 3-Periodics in the Elliptic Billiard,3,"1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 20, 21, 35, 36, 40, 46, 55, 56, 57, 63, 65, 72, 78, 79, 80, 84, 90, 100",2020,https://youtu.be/srjm23nQbMc,,T,
128,Inversive Poncelet,Circles Galore III: Loci of Focus-Inversive 3-Periodics in the Elliptic Billiard (9 notable centers),3,"1,2,3,4,5,8,9,10,11",2020,https://youtu.be/OAD2hpCRgCI,,T,
